ID,Choice
1,"Reducing food waste options (bringing own shopping bags,  purchasing in bulk, or purchasing sustainable packaging )"
2,Mindful of animal product carbon impact
2,Consider eating local and organic foods
2,"Reducing food waste options (bringing own shopping bags,  purchasing in bulk, or purchasing sustainable packaging )"
3,Consider alternative transportation options aside from driving alone
4,Consider alternative transportation options aside from driving alone
4,Consider eating local and organic foods
4,"Reducing food waste options (bringing own shopping bags,  purchasing in bulk, or purchasing sustainable packaging )"
5,Consider alternative transportation options aside from driving alone
5,"Reducing food waste options (bringing own shopping bags,  purchasing in bulk, or purchasing sustainable packaging )"
6,Mindful of animal product carbon impact
6,"Reducing food waste options (bringing own shopping bags,  purchasing in bulk, or purchasing sustainable packaging )"
7,Consider eating local and organic foods
7,"Reducing food waste options (bringing own shopping bags,  purchasing in bulk, or purchasing sustainable packaging )"
8,Mindful of animal product carbon impact
8,Consider eating local and organic foods
8,"Reducing food waste options (bringing own shopping bags,  purchasing in bulk, or purchasing sustainable packaging )"
9,Mindful of animal product carbon impact
9,Consider alternative transportation options aside from driving alone
9,"Reducing food waste options (bringing own shopping bags,  purchasing in bulk, or purchasing sustainable packaging )"
10,Consider alternative transportation options aside from driving alone
10,"Reducing food waste options (bringing own shopping bags,  purchasing in bulk, or purchasing sustainable packaging )"
11,Consider alternative transportation options aside from driving alone
11,"Reducing food waste options (bringing own shopping bags,  purchasing in bulk, or purchasing sustainable packaging )"
12,"Reducing food waste options (bringing own shopping bags,  purchasing in bulk, or purchasing sustainable packaging )"